hired,service_year,nvq_level,length_of_service,employee_status,monthly_leaves,average_montly_hours,handle_appointments,customer_satisfaction_level,monthly_basic_salary,yearly_increment
2015,2021,2,6,2,5,204,23,1,38000,0
2016,2021,2,5,2,5,201,30,2,38000,0
2016,2021,3,5,2,2,239,42,2,50000,1
2015,2019,2,1,1,4,175,17,1,31000,0
2015,2017,2,2,2,5,205,23,3,38000,0
2020,2021,2,1,1,0,207,16,1,36000,0
2017,2019,2,2,2,3,240,41,2,38000,1
2020,2021,3,1,1,4,168,22,2,34000,0
2015,2016,3,1,1,3,184,21,3,33000,0
2017,2018,2,1,1,3,181,12,2,31000,0
2017,2018,4,1,1,5,168,19,1,38000,0
2015,2018,4,3,2,1,240,44,3,40000,1
2019,2021,4,2,2,3,235,38,3,39000,1
2015,2021,4,6,2,3,227,35,2,45000,1
2018,2021,5,3,2,0,292,39,1,44000,1
2015,2019,4,1,1,4,174,16,1,32000,0
2017,2018,4,1,1,5,162,21,1,31000,0
2019,2020,4,1,1,2,186,12,2,33000,0
2020,2021,2,1,1,5,161,19,1,33000,0
2016,2018,4,2,2,2,245,44,3,39000,1
2016,2017,3,1,1,4,170,11,1,40000,0
2016,2019,4,3,2,1,250,30,1,41000,0
2019,2020,5,1,1,4,168,12,1,32000,0
2017,2021,3,4,2,1,250,43,2,43000,1
2018,2021,4,3,2,4,228,38,2,39000,1
2017,2020,4,3,2,4,221,40,2,40000,1
2019,2020,5,1,1,1,200,18,1,32000,1
2018,2019,2,1,1,1,196,12,2,34000,0
2017,2021,5,4,2,2,240,45,2,61000,1
2018,2019,5,1,1,1,198,12,2,33000,0
2017,2021,3,4,2,5,210,26,1,38000,0
2020,2021,5,1,1,1,198,22,1,32000,1
2017,2018,5,1,1,3,178,12,1,30000,0
2020,2021,3,1,1,1,193,22,2,29000,1
2016,2017,5,1,1,0,200,19,1,29000,1
2015,2016,5,1,1,0,219,10,2,40000,0
2016,2020,3,4,2,5,209,24,3,39000,0
2015,2017,3,2,2,2,234,44,1,42000,1
2016,2019,3,3,2,3,234,31,2,49000,1
2020,2021,3,1,1,1,193,11,2,33000,0
2017,2020,4,3,2,1,248,45,2,66000,1
2020,2021,5,1,1,0,212,23,1,33000,1
2015,2018,3,3,2,1,240,33,1,51000,1
2017,2019,4,2,2,1,243,43,1,60000,1
2015,2021,3,6,2,0,300,44,1,46000,1
2018,2020,4,2,2,3,232,40,1,54000,1
2019,2020,4,1,1,5,161,14,1,31000,0
2016,2021,5,5,2,4,214,40,1,40000,0
2018,2020,5,2,2,2,244,43,1,62000,1
2018,2019,5,1,1,1,197,12,1,36000,0
2018,2020,3,2,2,1,243,45,3,39000,1
2015,2020,4,5,2,2,250,31,2,42000,1
2015,2021,4,6,2,1,250,40,2,42000,1
2015,2020,5,5,2,3,228,36,1,52000,1
2018,2021,5,3,2,0,273,33,1,49000,1
2020,2021,3,1,1,1,199,13,2,31000,0
2016,2018,2,2,2,0,267,44,3,39000,1
2018,2020,5,2,2,4,230,43,1,40000,1
2020,2021,5,1,1,4,169,21,1,34000,0
2015,2021,2,6,2,3,225,35,3,40000,1
2019,2020,3,1,1,4,171,18,1,38000,0
2015,2019,3,1,1,4,168,19,1,39000,0
2015,2018,4,3,2,3,224,38,2,47000,1
2018,2019,5,1,1,2,191,15,1,32000,0
2020,2021,2,1,1,5,168,18,1,36000,0
2019,2020,2,1,1,1,196,20,1,31000,1
2018,2020,2,2,2,1,243,32,1,40000,1
2018,2019,4,1,1,2,191,22,1,33000,1
2015,2016,3,1,1,2,187,16,1,29000,0
2019,2021,5,2,2,3,226,34,3,39000,1
2015,2018,2,3,2,0,263,44,1,39000,1
2019,2020,2,1,1,4,176,16,1,33000,0
2016,2018,5,2,2,1,246,30,1,42000,0
2020,2021,2,1,1,3,183,20,3,40000,0
2018,2021,5,3,2,0,266,39,1,43000,1
2016,2017,5,1,1,2,187,18,2,34000,1
2015,2019,3,1,1,3,179,25,2,31000,0
2017,2020,2,3,2,0,280,44,2,38000,1
2016,2021,3,5,2,2,231,33,1,50000,1
2016,2017,3,1,1,3,176,19,1,30000,0
2017,2020,2,3,2,4,226,32,3,39000,1
2015,2021,4,6,2,1,244,44,2,63000,1
2015,2021,2,6,2,4,225,43,3,40000,1
2020,2021,5,1,1,1,198,23,1,32000,1
2016,2020,2,4,2,1,243,38,3,40000,1
2019,2021,4,2,2,4,229,33,2,39000,1
2015,2016,3,1,1,1,195,24,3,33000,0
2015,2019,4,1,1,3,178,24,2,33000,0
2018,2020,5,2,2,0,256,38,1,53000,1
2016,2018,3,2,2,0,280,37,1,46000,1
2017,2020,5,3,2,3,236,36,1,41000,1
2019,2021,2,2,2,4,230,45,1,39000,1
2015,2016,2,1,1,2,185,17,1,35000,1
2016,2019,2,3,2,4,214,38,1,38000,0
2020,2021,3,1,1,5,161,14,2,34000,0
2016,2019,5,3,2,1,244,45,3,39000,1
2020,2021,3,1,1,2,190,23,1,29000,1
2018,2020,3,2,2,3,233,32,1,43000,1
2020,2021,5,1,1,5,165,14,1,36000,0
2020,2021,3,1,1,3,179,13,2,36000,0
2018,2019,2,1,1,3,179,10,1,39000,0
2016,2020,2,4,2,1,242,39,1,38000,1
2020,2021,2,1,1,3,178,21,1,36000,0
2019,2021,5,2,2,1,243,43,2,70000,1
2016,2018,5,2,2,5,203,26,1,39000,0
2017,2021,2,4,2,1,245,42,1,40000,1
2017,2018,3,1,1,5,164,15,3,31000,0
2019,2021,5,2,2,2,246,34,1,49000,1
2019,2021,3,2,2,4,210,25,1,40000,0
2016,2017,2,1,1,3,183,13,3,32000,0
2019,2020,4,1,1,2,186,21,1,31000,1
2019,2020,2,1,1,3,177,22,1,32000,0
2018,2021,2,3,2,3,221,40,3,38000,1
2018,2021,4,3,2,3,236,36,1,47000,1
2020,2021,2,1,1,0,211,18,1,33000,1
2015,2017,4,2,2,2,245,30,2,50000,0
2018,2019,5,1,1,3,178,17,3,34000,0
2019,2021,2,2,2,3,234,33,3,40000,1
2017,2019,4,2,2,4,215,40,1,40000,0
2019,2021,5,2,2,1,244,31,1,46000,1
2017,2021,3,4,2,2,238,35,2,46000,1
2018,2020,3,2,2,4,225,37,2,38000,1
2015,2018,3,3,2,3,227,44,1,55000,1
2016,2018,4,2,2,2,242,32,3,40000,1
2018,2020,3,2,2,2,243,41,2,41000,1
2015,2019,3,1,1,4,171,25,2,38000,0
2019,2021,5,2,2,3,236,39,1,54000,1
2020,2021,3,1,1,0,201,25,3,37000,0
2020,2021,2,1,1,5,168,21,2,34000,0
2016,2017,4,1,1,4,173,20,3,33000,0
2016,2020,4,4,2,5,205,28,2,40000,0
2015,2018,4,3,2,1,245,44,3,39000,1
2017,2018,3,1,1,1,195,25,3,34000,0
2020,2021,4,1,1,5,165,17,3,37000,0
2016,2020,2,4,2,3,239,37,3,40000,1
2019,2021,5,2,2,2,247,34,2,41000,1
2017,2018,5,1,1,3,183,23,2,30000,1
2016,2021,2,5,2,3,235,40,2,39000,1
2015,2016,5,1,1,1,198,25,1,27000,1
2015,2016,3,1,1,3,182,19,2,34000,1
2019,2021,2,2,2,2,245,36,2,38000,1
2017,2020,3,3,2,5,204,25,3,40000,0
2018,2019,3,1,1,2,191,15,1,31000,0
2018,2019,2,1,1,3,182,13,2,39000,0
2018,2020,5,2,2,5,208,28,2,40000,0
2018,2020,2,2,2,1,249,32,3,38000,1
2018,2021,4,3,2,1,250,32,3,38000,1
2017,2019,3,2,2,4,219,35,1,39000,0
2020,2021,4,1,1,5,163,10,2,31000,0
2017,2018,3,1,1,5,165,23,1,34000,0
2017,2021,5,4,2,4,228,38,1,39000,1
2020,2021,2,1,1,3,184,25,2,33000,1
2016,2019,3,3,2,1,243,40,3,38000,1
2019,2020,2,1,1,4,172,10,1,37000,0
2019,2020,2,1,1,5,165,13,2,31000,0
2017,2020,2,3,2,2,235,44,3,39000,1
2020,2021,4,1,1,1,196,15,2,33000,0
2016,2021,2,5,2,0,283,41,3,39000,1
2018,2020,5,2,2,4,224,40,3,38000,1
2018,2019,4,1,1,4,173,19,2,35000,0
2020,2021,5,1,1,1,200,20,1,28000,1
2015,2016,5,1,1,3,183,15,3,33000,0
2020,2021,2,1,1,1,199,23,3,34000,0
2016,2019,2,3,2,4,212,35,1,40000,0
2016,2018,2,2,2,0,250,39,3,39000,1
2017,2021,5,4,2,0,271,38,1,43000,1
2018,2019,5,1,1,1,193,20,1,35000,1
2019,2021,4,2,2,1,243,41,1,67000,1
2020,2021,5,1,1,3,184,18,3,36000,0
2019,2020,4,1,1,1,196,11,3,36000,0
2015,2018,5,3,2,4,229,33,1,38000,1
2016,2017,2,1,1,2,184,20,2,31000,1
2020,2021,4,1,1,1,195,16,2,26000,0
2017,2021,3,4,2,4,220,45,3,38000,0
2015,2020,5,5,2,1,240,42,1,68000,1
2019,2020,4,1,1,5,167,21,3,32000,0
2015,2021,4,6,2,1,244,45,2,60000,1
2015,2016,4,1,1,2,186,17,2,29000,1
2018,2020,4,2,2,0,269,30,2,44000,0
2020,2021,3,1,1,1,192,10,2,35000,0
2017,2021,4,4,2,2,239,45,1,62000,1
2018,2019,4,1,1,0,209,23,2,25000,1
2015,2019,4,1,1,2,190,12,3,39000,0
2016,2021,5,5,2,2,231,38,1,43000,1
2020,2021,3,1,1,0,212,14,2,33000,0
2015,2021,4,6,2,5,205,25,2,39000,0
2018,2019,3,1,1,5,164,21,3,35000,0
2020,2021,3,1,1,4,171,20,3,39000,0
2019,2020,4,1,1,3,183,25,1,34000,1
2018,2019,3,1,1,3,178,21,3,35000,0
2018,2020,2,2,2,0,283,44,3,40000,1
2016,2020,2,4,2,4,224,40,3,39000,1
2019,2021,3,2,2,3,238,40,1,42000,1
2017,2019,4,2,2,5,201,26,3,38000,0
2016,2021,3,5,2,0,297,38,1,45000,1
2020,2021,2,1,1,4,176,13,2,33000,0
2020,2021,5,1,1,0,202,25,1,32000,1
2020,2021,2,1,1,4,174,11,3,37000,0
2020,2021,5,1,1,2,191,13,3,36000,0
2016,2017,2,1,1,4,171,10,3,38000,0
2020,2021,4,1,1,0,213,16,2,34000,0
2019,2021,5,2,2,0,269,44,2,66000,1
2015,2020,2,5,2,3,240,32,3,39000,1
2017,2020,3,3,2,2,244,31,3,40000,1
2020,2021,2,1,1,2,185,20,1,33000,1
2019,2020,3,1,1,3,184,23,3,31000,0
2020,2021,2,1,1,1,194,13,1,38000,0
2018,2020,4,2,2,1,243,41,3,40000,1
2015,2017,5,2,2,2,234,34,1,54000,1
2018,2019,3,1,1,2,190,22,1,31000,1
2015,2020,5,5,2,5,204,25,1,39000,0
2018,2020,4,2,2,5,204,22,1,39000,0
2020,2021,3,1,1,1,192,22,1,33000,1
2015,2017,5,2,2,1,244,43,3,38000,1
2015,2018,5,3,2,1,242,42,1,64000,1
2016,2018,3,2,2,5,206,29,3,40000,0
2018,2021,5,3,2,0,250,43,1,67000,1
2018,2021,4,3,2,2,233,32,1,47000,1
2020,2021,5,1,1,4,170,12,1,35000,0
2016,2018,2,2,2,0,263,35,2,39000,1
2015,2019,2,1,1,4,171,24,1,36000,0
2019,2021,4,2,2,0,253,44,3,39000,1
2015,2020,2,5,2,3,221,37,2,40000,1
2016,2019,5,3,2,2,231,43,1,63000,1
2015,2016,4,1,1,2,184,18,3,30000,0
2020,2021,3,1,1,1,195,15,2,30000,0
2016,2019,4,3,2,5,203,24,1,39000,0
2018,2020,4,2,2,0,268,33,1,40000,1
2016,2017,5,1,1,2,184,16,3,31000,0
2015,2016,4,1,1,2,184,24,1,33000,1
2017,2018,3,1,1,5,161,11,2,33000,0
2020,2021,4,1,1,0,211,13,2,39000,0
2018,2019,3,1,1,2,192,20,2,29000,1
2015,2021,2,6,2,5,203,22,2,38000,0
2015,2019,4,1,1,5,161,10,1,33000,0
2015,2020,5,5,2,4,212,44,3,38000,0
2017,2021,4,4,2,0,266,33,1,48000,1
2018,2019,4,1,1,0,205,14,1,35000,0
2017,2020,2,3,2,0,259,33,2,38000,1
2019,2021,5,2,2,2,250,37,1,40000,1
2015,2021,2,6,2,1,245,35,2,39000,1
2017,2020,2,3,2,1,244,40,2,40000,1
2015,2019,2,1,1,3,177,10,2,38000,0
2017,2019,2,2,2,5,205,27,2,39000,0
2015,2017,4,2,2,2,241,36,1,42000,1
2016,2020,2,4,2,1,242,35,3,38000,1
2018,2019,2,1,1,3,184,11,3,32000,0
2019,2021,2,2,2,3,240,39,3,38000,1
2020,2021,4,1,1,2,190,18,2,30000,1
2017,2019,2,2,2,5,202,23,3,39000,0
2015,2017,2,2,2,2,237,31,3,40000,1
2019,2021,4,2,2,2,242,35,2,45000,1
2020,2021,4,1,1,2,190,12,1,34000,0
2016,2020,5,4,2,1,250,32,1,54000,1
2016,2021,3,5,2,5,200,27,2,40000,0
2015,2019,4,1,1,4,172,25,1,30000,0
2016,2020,2,4,2,1,245,37,2,39000,1
2015,2021,2,6,2,2,236,42,2,39000,1
2015,2016,3,1,1,3,176,21,2,32000,0
2016,2017,5,1,1,4,171,19,1,40000,0
2019,2020,4,1,1,1,194,17,2,30000,1
2020,2021,4,1,1,3,179,12,3,38000,0
2020,2021,5,1,1,5,165,11,1,39000,0
2019,2020,3,1,1,3,177,13,1,33000,0
2019,2021,3,2,2,0,277,32,2,48000,1
2017,2021,2,4,2,5,205,24,1,38000,0
2018,2019,5,1,1,5,166,17,2,31000,0
2018,2021,2,3,2,4,230,39,2,38000,1
2020,2021,2,1,1,5,162,16,3,35000,0
2017,2019,5,2,2,0,281,34,1,46000,1
2019,2021,2,2,2,1,246,43,3,38000,1
2016,2017,2,1,1,1,193,22,3,36000,0
2019,2021,4,2,2,1,247,38,1,42000,1
2015,2019,2,1,1,3,178,24,2,38000,0
2015,2020,2,5,2,4,217,37,2,38000,0
2019,2021,4,2,2,1,248,40,2,47000,1
2020,2021,4,1,1,4,169,23,3,37000,0
2016,2017,4,1,1,0,219,18,2,28000,1
2020,2021,2,1,1,3,179,18,2,34000,0
2019,2020,5,1,1,2,190,19,1,29000,1
2015,2016,5,1,1,2,191,24,3,39000,0
2016,2021,5,5,2,3,232,43,1,43000,1
2019,2020,5,1,1,0,208,13,1,34000,0
2015,2017,5,2,2,3,232,30,1,43000,0
2019,2020,2,1,1,4,174,11,3,33000,0
2019,2021,4,2,2,1,244,34,1,52000,1
2018,2019,2,1,1,0,214,17,2,39000,1
2015,2020,4,5,2,4,210,27,2,39000,0
2018,2019,3,1,1,5,164,13,2,37000,0
2019,2020,4,1,1,3,180,18,3,39000,0
2018,2021,3,3,2,2,237,32,2,52000,1
2019,2020,3,1,1,4,168,10,1,36000,0
2019,2020,5,1,1,1,192,18,2,30000,1
2015,2021,3,6,2,3,238,31,1,50000,1
2015,2021,3,6,2,2,241,39,3,40000,1
2015,2021,5,6,2,2,230,43,1,70000,1
2020,2021,3,1,1,5,161,10,1,36000,0
2019,2021,5,2,2,5,201,29,1,39000,0
2017,2019,4,2,2,4,218,36,2,40000,0
2020,2021,2,1,1,1,200,19,1,36000,1
2018,2021,4,3,2,4,230,33,3,39000,1
2015,2021,3,6,2,1,242,38,1,44000,1
2016,2018,5,2,2,1,247,34,3,38000,1
2019,2020,4,1,1,0,200,23,2,30000,1
2018,2020,4,2,2,4,218,34,1,39000,0
2020,2021,3,1,1,0,211,12,1,33000,0
2015,2021,3,6,2,3,224,34,2,51000,1
2017,2018,5,1,1,0,211,23,3,32000,0
2019,2020,4,1,1,5,163,11,3,37000,0
2020,2021,4,1,1,3,180,18,1,27000,0
2018,2020,3,2,2,1,241,38,1,50000,1
2018,2021,2,3,2,1,248,41,2,38000,1
2018,2019,3,1,1,4,174,22,2,32000,0
2015,2021,5,6,2,5,205,28,1,39000,0
2017,2021,5,4,2,5,200,30,3,40000,0
2017,2018,5,1,1,0,211,19,1,27000,1
2015,2019,2,1,1,0,220,10,3,37000,0
2016,2021,4,5,2,5,205,23,1,38000,0
2016,2020,2,4,2,4,212,40,3,38000,0
2020,2021,3,1,1,0,218,24,1,33000,1
2015,2020,5,5,2,2,247,30,1,45000,0
2016,2017,3,1,1,1,198,25,1,25000,1
2015,2019,5,1,1,3,179,16,1,27000,0
2020,2021,4,1,1,1,195,10,2,33000,0
2019,2021,3,2,2,5,209,27,1,39000,0
2018,2020,2,2,2,1,244,34,3,39000,1
2016,2018,5,2,2,3,230,34,1,43000,1
2015,2016,4,1,1,5,165,11,3,37000,0
2018,2019,3,1,1,1,197,23,3,33000,0
2015,2019,2,1,1,1,196,13,1,38000,0
2019,2021,4,2,2,0,255,39,2,54000,1
2019,2020,3,1,1,4,173,19,2,39000,0
2015,2019,3,1,1,5,168,21,2,39000,0
2015,2016,5,1,1,3,178,11,1,37000,0
2019,2020,5,1,1,5,163,16,3,31000,0
2016,2021,3,5,2,3,236,31,1,52000,1
2018,2021,2,3,2,2,246,33,1,38000,1
2020,2021,3,1,1,3,180,20,2,32000,0
2017,2018,5,1,1,4,171,19,1,35000,0
2018,2020,3,2,2,2,235,45,2,40000,1
2016,2019,2,3,2,1,249,38,3,39000,1
2019,2021,5,2,2,4,216,45,1,39000,0
2020,2021,4,1,1,0,216,12,3,38000,0
2017,2018,5,1,1,1,193,21,1,32000,1
2016,2018,2,2,2,2,250,31,2,39000,1
2020,2021,3,1,1,4,176,19,3,34000,0
2020,2021,2,1,1,0,203,18,1,35000,1
2018,2020,4,2,2,5,206,30,3,38000,0
2015,2016,2,1,1,4,170,21,2,36000,0
2019,2021,3,2,2,2,242,34,3,39000,1
2016,2021,2,5,2,5,208,27,2,38000,0
2019,2020,2,1,1,1,200,13,1,36000,0
2015,2021,3,6,2,1,242,32,3,39000,1
2018,2020,2,2,2,0,258,43,1,40000,1
2018,2019,4,1,1,2,188,17,2,33000,1
2018,2020,2,2,2,1,245,43,2,39000,1
2017,2020,2,3,2,5,207,28,2,39000,0
2016,2020,2,4,2,3,226,37,2,40000,1
2016,2020,3,4,2,4,218,41,1,38000,0
2018,2020,5,2,2,5,210,26,1,39000,0
2015,2021,5,6,2,5,204,23,1,38000,0
2017,2021,3,4,2,1,241,37,1,47000,1
2015,2020,3,5,2,1,246,42,1,40000,1
2019,2021,3,2,2,1,244,34,3,40000,1
2018,2019,5,1,1,3,178,10,3,38000,0
2016,2018,3,2,2,4,217,34,2,39000,0
2018,2020,4,2,2,2,244,43,1,61000,1
2020,2021,2,1,1,5,161,10,2,36000,0
2019,2020,2,1,1,1,196,23,1,37000,1
2020,2021,2,1,1,2,189,19,2,37000,1
2018,2020,2,2,2,2,242,45,1,38000,1
2019,2021,2,2,2,5,206,23,1,39000,0
2017,2019,3,2,2,2,245,39,2,47000,1
2018,2021,4,3,2,5,205,28,3,40000,0
2020,2021,2,1,1,5,163,24,2,38000,0
2020,2021,2,1,1,0,214,10,2,32000,0
2016,2017,5,1,1,2,191,21,1,32000,1
2016,2019,4,3,2,0,300,39,1,40000,1
2020,2021,4,1,1,2,192,11,3,36000,0
2018,2021,4,3,2,4,211,33,3,39000,0
2018,2021,2,3,2,1,241,37,1,38000,1
2018,2021,4,3,2,5,201,28,2,40000,0
2019,2020,4,1,1,2,192,21,3,32000,0
2015,2018,4,3,2,0,263,39,3,38000,1
2019,2020,3,1,1,0,211,21,2,34000,1
2017,2021,5,4,2,1,243,39,1,43000,1
2016,2019,4,3,2,5,205,22,2,38000,0
2017,2019,3,2,2,1,245,38,1,43000,1
2020,2021,2,1,1,5,166,18,2,35000,0
2019,2020,2,1,1,4,173,19,1,36000,0
2020,2021,4,1,1,2,189,17,2,27000,1
2018,2019,2,1,1,5,166,13,3,35000,0
2020,2021,2,1,1,5,166,12,1,39000,0
2016,2017,4,1,1,2,188,13,1,31000,0
2019,2020,4,1,1,0,215,24,1,26000,1
2017,2020,3,3,2,0,265,35,3,38000,1
2019,2020,3,1,1,1,200,13,3,33000,0
2019,2020,2,1,1,3,184,15,1,36000,0
2017,2021,5,4,2,3,239,39,1,41000,1
2019,2021,2,2,2,5,207,26,3,40000,0
2017,2019,5,2,2,4,221,43,1,39000,1
2019,2020,2,1,1,2,191,18,1,36000,1
2016,2020,2,4,2,5,204,22,2,39000,0
2019,2021,4,2,2,5,204,26,2,38000,0
2016,2019,2,3,2,3,223,35,1,39000,1
2017,2018,4,1,1,3,180,16,2,28000,0
2017,2020,2,3,2,5,205,24,2,39000,0
2016,2018,5,2,2,0,251,44,1,63000,1
2019,2021,2,2,2,0,273,39,1,40000,1
2016,2020,3,4,2,3,228,43,2,54000,1
2015,2021,4,6,2,4,223,35,1,40000,1
2018,2019,4,1,1,5,165,22,3,35000,0
2018,2021,5,3,2,4,227,34,1,39000,1
2018,2020,4,2,2,2,237,37,3,39000,1
2017,2020,4,3,2,3,222,37,2,53000,1
2018,2021,3,3,2,0,271,39,1,43000,1
2018,2021,3,3,2,5,207,25,2,39000,0
2018,2019,3,1,1,2,191,12,2,40000,0
2020,2021,4,1,1,2,191,19,2,29000,1
2018,2021,4,3,2,1,245,41,3,39000,1
2018,2020,4,2,2,3,239,30,2,43000,0
2020,2021,4,1,1,3,178,23,2,35000,0
2017,2019,4,2,2,2,250,32,2,49000,1
2018,2021,4,3,2,1,241,35,2,41000,1
2017,2018,5,1,1,1,197,24,2,27000,1
2020,2021,2,1,1,1,199,19,2,30000,1
2017,2021,5,4,2,5,205,23,2,38000,0
2019,2021,5,2,2,3,221,36,1,42000,1
2017,2019,5,2,2,5,208,27,1,40000,0
2020,2021,3,1,1,5,163,25,2,31000,0
2018,2019,3,1,1,1,196,12,1,30000,0
2015,2018,3,3,2,4,229,37,2,40000,1
2020,2021,4,1,1,0,215,15,2,40000,0
2016,2019,4,3,2,3,226,38,2,42000,1
2018,2021,5,3,2,4,227,44,1,38000,1
2017,2019,5,2,2,1,244,43,1,61000,1
2019,2021,3,2,2,3,230,44,1,43000,1
2017,2020,5,3,2,2,249,41,2,69000,1
2017,2021,2,4,2,4,220,43,2,38000,0
2017,2019,3,2,2,1,250,33,2,54000,1
2018,2020,2,2,2,2,236,38,2,40000,1
2017,2018,2,1,1,3,181,10,1,34000,0
2015,2018,4,3,2,3,234,35,2,47000,1
2015,2020,3,5,2,0,251,45,2,53000,1
2018,2019,2,1,1,4,174,24,2,32000,0
2018,2021,4,3,2,1,250,40,2,50000,1
2020,2021,4,1,1,3,183,25,1,32000,1
2016,2021,2,5,2,4,228,34,1,39000,1
2019,2021,2,2,2,1,247,38,2,39000,1
2020,2021,5,1,1,3,182,12,1,30000,0
2019,2020,4,1,1,3,181,14,3,30000,0
2020,2021,4,1,1,2,189,15,1,37000,0
2019,2020,5,1,1,4,175,14,1,39000,0
2018,2020,4,2,2,0,294,44,1,69000,1
2015,2016,2,1,1,0,219,24,2,35000,1
2015,2016,5,1,1,1,199,11,1,30000,0
2020,2021,3,1,1,3,180,20,2,27000,0
2020,2021,3,1,1,5,165,23,1,30000,0
2015,2021,2,6,2,0,276,38,2,39000,1
2019,2021,2,2,2,2,236,33,2,40000,1
2015,2019,3,1,1,3,182,23,3,35000,0
2019,2021,5,2,2,0,260,34,1,54000,1
2018,2019,2,1,1,2,189,15,3,33000,0
2020,2021,2,1,1,4,169,23,2,33000,0
2019,2020,5,1,1,3,183,16,1,27000,0
2020,2021,2,1,1,0,203,19,2,30000,1
2015,2020,5,5,2,4,230,40,1,38000,1
2018,2021,2,3,2,3,238,38,2,40000,1
2020,2021,3,1,1,1,196,15,3,37000,0
2019,2020,3,1,1,4,175,10,1,30000,0
2015,2019,3,1,1,1,197,21,3,39000,0
2017,2020,5,3,2,1,246,35,1,44000,1
2015,2018,4,3,2,1,244,44,1,62000,1
2015,2016,2,1,1,4,168,15,3,37000,0
2017,2019,2,2,2,1,242,37,3,38000,1
2020,2021,3,1,1,4,176,18,2,33000,0
2015,2019,2,1,1,0,202,19,2,32000,1
2020,2021,3,1,1,3,181,22,3,31000,0
2020,2021,2,1,1,4,169,18,2,34000,0
2018,2021,5,3,2,0,258,30,1,44000,0
2020,2021,4,1,1,1,196,22,2,34000,1
2019,2020,3,1,1,1,198,12,3,37000,0
2016,2018,4,2,2,1,249,39,2,46000,1
2018,2021,3,3,2,4,224,40,1,38000,1
2017,2020,3,3,2,0,279,35,3,40000,1
2016,2017,3,1,1,3,179,17,2,31000,0
2019,2021,5,2,2,2,238,41,1,64000,1
2018,2019,5,1,1,1,198,10,3,39000,0
2019,2021,5,2,2,4,214,34,1,38000,0
2020,2021,4,1,1,4,169,25,2,33000,0
2018,2020,2,2,2,1,245,36,1,39000,1
2020,2021,5,1,1,0,211,11,1,30000,0
2017,2019,3,2,2,4,226,31,1,38000,1
2016,2017,5,1,1,5,160,25,3,37000,0
2018,2020,3,2,2,4,229,33,3,40000,1
2015,2016,5,1,1,0,209,10,1,33000,0
2018,2019,2,1,1,1,194,20,2,32000,1
2015,2016,4,1,1,0,205,15,2,36000,0
2017,2020,4,3,2,5,208,22,2,39000,0
2016,2017,3,1,1,4,176,25,1,39000,0
2015,2017,3,2,2,5,206,24,3,40000,0
2017,2021,3,4,2,3,225,36,2,49000,1
2020,2021,3,1,1,1,197,18,2,34000,1
2015,2020,4,5,2,4,210,24,1,39000,0
2016,2018,3,2,2,4,224,30,3,38000,0
2018,2019,5,1,1,2,186,12,1,35000,0
2018,2021,2,3,2,4,224,45,3,39000,1
2019,2021,5,2,2,3,235,30,1,53000,0
2020,2021,3,1,1,3,180,15,2,31000,0
2019,2020,2,1,1,5,162,19,2,34000,0
2018,2021,4,3,2,0,300,44,1,62000,1
2020,2021,5,1,1,2,187,18,3,31000,0
2019,2021,2,2,2,1,247,45,1,38000,1
2020,2021,3,1,1,2,188,11,2,31000,0
2019,2020,3,1,1,3,184,22,2,29000,1
2020,2021,2,1,1,2,188,16,3,36000,0
2018,2020,3,2,2,2,245,34,2,42000,1
2019,2021,4,2,2,5,203,28,1,39000,0
2016,2019,3,3,2,2,232,37,1,50000,1
2019,2020,3,1,1,2,188,13,3,32000,0
2016,2018,5,2,2,5,202,23,1,38000,0
2015,2016,3,1,1,4,173,24,2,34000,0
2020,2021,3,1,1,2,188,19,2,30000,1
2016,2021,3,5,2,1,249,42,2,51000,1
2018,2021,2,3,2,1,242,36,1,39000,1
2015,2018,5,3,2,4,210,29,3,40000,0
2020,2021,2,1,1,5,165,11,3,33000,0
2017,2019,3,2,2,4,212,44,2,39000,0
2018,2019,4,1,1,4,168,20,1,36000,0
2015,2021,3,6,2,0,300,34,2,53000,1
2018,2019,3,1,1,5,168,13,1,39000,0
2018,2021,2,3,2,0,255,38,1,38000,1
2016,2018,2,2,2,0,279,44,2,39000,1
2018,2021,2,3,2,1,250,31,1,38000,1
2017,2020,2,3,2,3,225,42,2,39000,1
2020,2021,2,1,1,0,219,10,1,34000,0
2020,2021,3,1,1,0,209,13,2,32000,0
2020,2021,4,1,1,3,176,14,2,38000,0
2019,2021,2,2,2,1,246,44,3,39000,1
2015,2021,4,6,2,4,230,35,1,39000,1
2015,2016,3,1,1,1,198,23,1,26000,1
2020,2021,4,1,1,4,171,22,1,39000,0
2016,2020,2,4,2,2,234,40,1,40000,1
2015,2020,4,5,2,1,240,41,1,68000,1
2016,2019,2,3,2,3,238,40,1,38000,1
2017,2020,3,3,2,0,260,40,3,39000,1
2015,2020,4,5,2,4,225,44,1,40000,1
2018,2020,5,2,2,5,210,24,1,38000,0
2015,2017,2,2,2,3,225,44,3,40000,1
2020,2021,4,1,1,4,176,13,2,36000,0
2016,2020,4,4,2,2,238,36,2,48000,1
2015,2020,4,5,2,3,226,37,2,42000,1
2018,2021,3,3,2,5,202,25,1,39000,0
2018,2020,4,2,2,5,208,25,1,39000,0
2015,2017,5,2,2,0,292,41,1,62000,1
2016,2021,5,5,2,2,249,36,2,43000,1
2015,2020,3,5,2,4,226,33,2,39000,1
